Character,Pinyin,Meaning
安排,ān pái,arrange
棒,bàng,great
帮忙,bāng máng,help
笔,bǐ,pen
比赛,bǐ sài,competition
必须,bì xū,must
变成,biàn chéng,change into ____
表现,biǎo xiàn,performance
部分,bù fèn,part of
参加,cān jiā,participate
厕所,cè suǒ,bathroom
差距,chā jù,gap
成功,chéng gōng,success
城市,chéng shì,city
成为,chéng wéi,become
厨房,chú fáng,kitchen
窗 (户),chuāng (hù),window
大概,dà gài,probably
到底,dào dǐ,"(adverb) in the end, ___"
地方,dì fāng,place
电脑,diàn nǎo,computer
电视,diàn shì,TV
电影,diàn yǐng,movie
发现,fā xiàn,discover; discovery
翻译,fān yì,translate
方便,fāng biàn,convenient
房间,fáng jiān,room
放松,fàng sōng,relax
繁体中文,fántǐ zhōngwén,Traditional Chinese
分手,fēn shǒu,"to break up, separate"
分享,fēn xiǎng,share
改变,gǎi biàn,change
干净,gān jìng,clean
感觉,gǎn jué,feeling; to feel
干麻,gàn má,what (rude)
感受,gǎn shòu,feel
刚才,gāng cái,just now
钢琴,gāng qín,piano
歌曲,gē qǔ,song
工具,gōng jù,tool
公司,gōng sī,company
乖,guāi,"good, well behaved"
怪不得,guài bù de,no wonder
关于,guān yú,about
过去,guò qù,"the past; or, to pass"
还,hái,"also, still"
花,huā,spend; flower
坏,huài,bad
欢迎光临,huān yíng guāng lín,welcome (visit)
回答,huí dá,answer
活动,huó dòng,activity
或者,huò zhě,or
极,jí,"very, extremely"
记得,jì de,remember
计划,jì huà,plan
机会,jī huì,opportunity
技术,jì shù,technology
继续,jì xù,"continue, keep on"
简单,jiǎn dān,simple
健康,jiàn kāng,"health, healthy"
讲话,jiǎng huà,speak
简体中文,jiǎntǐ zhōngwén,Simplified Chinese
教书,jiāo shū,teach
结果,jié guǒ,result
节目,jié mù,"program (for an event, TV)"
介绍,jiè shào,introduce
接受,jiē shòu,accept
结束,jié shù,to finish or end
结束,jié shù,finish
句子,jù zi,sentence
决定,jué dìng,decide
开始,kāi shǐ,start
看法,kàn fǎ,"view, opinion"
可怜,kě lián,pitiful
可能,kě néng,"possible, possibly"
科学,kē xué,science
肯定,kěn dìng,"certainly, definitely"
哭,kū,cry
老板,lǎo bǎn,boss
例子,lì zi,example
练习,liàn xí,practice
另外,lìng wài,in addition
慢,màn,slow
梦想; 做梦,mèng xiǎng; zuò mèng,dream; to dream
面对,miàn duì,confront
目标,mù biāo,"target, objective"
內容,nèi róng,content
努力,nǔ lì,to strive for; effort
拍,pāi,pat/clap/slap; take photo/film
陪,péi,to accompany
偏好,piān hào,preference
便宜,pián yí,cheap
普通话,pǔtōnghuà,"Mandarin (""common language"")"
期待,qí dài,"expect, looking forward to"
奇怪,qí guài,strange
其实,qí shí,actually
钱,qián,money
签名,qiān míng,"signature, autograph"
情操,qíng cāo,"sentiments, feelings"
求,qiú,to beg
全部,quán bù,"all, whole of"
然后,rán hòu,then
任何,rèn hé,any
认识,rèn shi,"recognize, know"
日常,rì cháng,daily
容易,róng yì,easy
身高,shēn gāo,height
身体,shēn tǐ,body or health
生活,shēng huó,life
胜利,shèng lì,victory
失败,shī bài,failure
时候,shí hòu,time; when
视角,shì jiǎo,perspective
世界,shì jiè,world
视频,shì pín,video
石头,shí tóu,stone
失望,shī wàng,"disappoint, disappointment"
事物,shì wù,thing
收到,shōu dào,receive
收集,shōu jí,collect
舒服,shū fú,comfortable
水平,shuǐ píng,level
速 (度),sù (dù),speed
宿舍,sù shè,dormitory
岁,suì,m. word for years (age)
所有,suǒ yǒu,all of
特别,tè bié,especially
提高,tí gāo,"improve, increase"
体育,tǐ yù,"phys. ed, sports"
体重,tǐ zhòng,weight
舔,tiǎn,lick
跳,tiào,jump
挺,tǐng,very
听,tīng,listen
痛苦,tòng kǔ,"pain, suffering"
图书馆,tú shū guǎn,library
推荐,tuī jiàn,recommend
袜子,wà zi,socks
完成,wán chéng,finish
完全,wán quán,completely
忘記,wàng jì,forget
味道,wèi dào,"flavor, taste, smell"
未来,wèi lái ,future
为了,wèi le,in order to...
位置,wèi zhì,"position, location"
希望,xī wàng,wish
洗澡,xǐ zǎo,bathe
现实,xiàn shí,reality
笑话,xiào huà,joke
新,xīn,new
辛苦,xīn kǔ,"exhausting, difficult"
信息,xìn xī,information
性别,xìng bié,gender
性格,xìng gé,personality
兴趣,xìng qù,interest
需要,xū yào,need
选择,xuǎn zé,choose
学习,xué xí,study
样子,yàng zi,"appearance, type"
药,yào,medicine
已经,yǐ jīng,already
意外,yì wài,accident
以为,yǐ wéi,wrongly thought/assumed
赢,yíng,to win
硬币,yìng bì,coin
应该,yīng gāi,should
英雄,yīng xióng,hero
勇敢,yǒng gǎn,brave
永远,yǒng yuǎn,forever
游戏,yóu xì,games
原来,yuán lái,"originally; as it turns out, ..."
愿意,yuàn yì,willing
原因,yuán yīn,reason
运动,yùn dòng,sports
糟糕,zāo gāo,terrible
站,zhàn,stand
战败,zhàn bài,defeat
真实,zhēn shí,"true, real"
真相,zhēn xiàng,truth
知道,zhī dào,know
之后,zhī hòu,after
之间,zhī jiān,between
之前,zhī qián,before
知识,zhī shì,knowledge
职责,zhí zé,responsibility
重,zhòng,heavy
重要,zhòng yào,important
终于,zhōng yú,finally
住,zhù,live
主题,zhǔ tí,"theme, topic"
主要,zhǔ yào,main
专业,zhuān yè,"college major, specialty"
准备,zhǔn bèi,prepare
总是,zǒng shì,always
作业,zuò yè,"work, task"